Name,Department,Rating,Difficulty,Number of Reviews,Would Take Again
Tom Goldstein,Mass Communications,3.6,1.9,29.0,
Barrie Thorne,Sociology,3.7,2.5,13.0,
Alan Nelson,English,3.9,2.3,12.0,
Francis Wang,Legal Studies,2.9,2.8,4.0,
Rachel Shigekane,Peace & Conflict Studies,4.2,3.2,5.0,
Donald Moore,Anthropology,3.8,4.5,6.0,
Chiang Hsieh,Economics,2.8,3.0,2.0,
Roger Byrne,Geography,3.6,2.9,12.0,
Agnes Dimitriou,Spanish,1.5,4.3,3.0,
Robert Acker,Geography,3.8,2.7,40.0,
John Lindow,Scandinavian,4.5,2.8,15.0,
Robert Collins,Anthropology,2.1,4.1,15.0,
Kausalya Hart,Asian Studies,2.1,3.6,12.0,
George Chang,Nutrition,2.5,1.6,18.0,100%
Leonard Bjeldanes,Nutrition,4.4,2.2,11.0,
Yuri Suzuki,Engineering,2.1,3.5,8.0,
Martin Covington,Psychology,3.4,1.4,17.0,
Vaughan Jones,Mathematics,2.8,3.1,44.0,
Alberto Sangiovanni-Vincentelli,Electrical Engineering,3.0,1.0,1.0,
Blake Wentworth,Asian Studies,5.0,3.2,6.0,100%
Leonardo Arriola,Political Science,3.8,3.7,19.0,100%
Richmond Sarpong,Chemistry,4.2,4.1,21.0,
Michael Lucey,French,4.8,3.0,7.0,100%
David Divita,French,4.9,3.3,6.0,100%
Joshua Vera,Classics,5.0,3.0,1.0,
Joseph Ring,English,5.0,2.7,3.0,
Suleman Khan,Chemistry,5.0,3.0,2.0,100%
Mariska Kriek,Astronomy,4.0,4.0,1.0,100%
George Brooks,Biology,1.8,3.6,18.0,50%
Elisabeth Sadoulet,Economics,3.4,2.6,5.0,0%
L. Craig Evans,Mathematics,4.5,3.0,41.0,75%
Andreea Gorbatai,Business Administration,4.0,2.5,2.0,
Steven Weissman,Public Policy,2.0,2.5,2.0,0%
Candace Yano,Industrial Engineering,4.3,3.0,4.0,50%
Ivonne Del Valle,Spanish,4.7,3.8,6.0,100%
Polina Dimova,Comparative Literature,4.6,3.2,6.0,100%
Alvin Cheung,Computer Science,3.1,3.0,4.0,100%
Carlos Padilla,Political Science,4.6,2.6,10.0,90%
Irfan Siddiqi,Physics,4.7,4.0,19.0,100%
Husam Muhamad,Biology,,,,
Caitlin Rosenthal,History,4.6,2.5,13.0,90%
Gabe Lenz,Political Science,3.2,2.7,18.0,54%
Hans Sluga,Philosophy,4.1,3.0,30.0,77%
Cari Kaufman,Statistics,4.2,2.6,41.0,87%
Michaela Mross,Religious Studies,,,,
Ryan Walvoord,Chemistry,,,,
Alexis Bouthier,Mathematics,,,,
Gabriel Flambard,French,1.0,2.0,1.0,
Erica Lawrence,English,,,,
Andy Jackson,Biology,4.2,3.6,9.0,
Sidney Kustu,Biology,3.0,4.0,1.0,
Walter Alvarez,Earth Science,4.4,1.8,20.0,
Vincent Resh,Biology,3.5,3.4,45.0,
John Lesch,History,4.4,2.2,14.0,
Norman Jacobson,Political Science,3.8,2.1,7.0,
Haiyan Huang,Statistics,2.6,3.8,5.0,
Carlos Mujal,History,2.9,3.5,4.0,
Justin Tumlinson,Business Administration,4.5,4.0,1.0,
Tim Fuson,Music,1.5,2.0,1.0,
Samuel Gillette,Chemistry,4.8,2.0,2.0,
Mai Vuong-Hurt,Chemistry,4.0,4.0,1.0,
Joe A. Reyes,Not Specified,4.5,1.3,3.0,
Gabriel Kaprielian,Urban Design & Development,3.5,4.5,2.0,50%
Rodrigo Almeida,Environ. Sci. Policy & Mgmt.,3.6,2.3,12.0,70%
James Sethian,Mathematics,4.1,4.3,112.0,88%
Julia Chang,Spanish,2.9,3.3,4.0,
Adam Szeidl,Economics,4.4,1.8,6.0,
William Kahan,Mathematics,3.5,5.0,6.0,
Klaus Corcilius,Philosophy,4.0,2.9,14.0,
Benito De Lumen,Nutrition,2.7,2.1,7.0,
Margaret Weir,Sociology,4.0,2.7,11.0,
Alex Green,Writing,3.8,4.7,3.0,
Bharati Mukherjee,English,3.5,3.2,5.0,
Karen Christensen,Urban Design & Development,2.8,2.9,7.0,
Venus Bivar,History,2.0,2.0,1.0,
Bernard Sadoulet,Physics,2.1,3.7,9.0,
Clara Mantini-Briggs,Anthropology,5.0,2.0,1.0,
Daniel Cullen,Music,2.7,2.3,3.0,
Jeffrey Miner,History,5.0,2.0,2.0,
Xochitl Marsilli,Anthropology,3.0,2.5,2.0,
Karl Van Bibber,Nuclear Engineering,4.5,2.4,4.0,100%
Dawit Melak,African-American Studies,4.8,1.3,3.0,
Allan Sly,Statistics,4.2,1.7,3.0,
Elizabeth Purdom,Statistics,3.6,4.4,5.0,
John Casida,Environmental Science,4.1,1.8,4.0,
L Murray,Business Administration,2.4,3.5,4.0,
Kim Richards,Ethnic Studies,2.4,2.2,6.0,
Nicholas Junkerman,English,3.5,2.7,3.0,
Orlaith Creedon,French,3.0,3.0,1.0,
Danielle Watts,Geography,4.0,3.0,1.0,
Jan Devries,History,3.4,3.0,7.0,
Alex Kruckman,Mathematics,5.0,1.0,1.0,
Daniel Naylor,Plant Biology,2.0,2.5,4.0,
Roy Fisher,Near Eastern Studies,4.3,3.0,2.0,
Verena Hoefig,Scandinavian,4.9,2.3,4.0,
Kenneth Wells,History,2.7,3.0,3.0,
Daniel Feldman,Biology,4.6,2.5,4.0,
Jim Hunt,Civil Engineering,4.3,4.7,3.0,
Ping Foong,Art History,2.0,3.0,1.0,
Ruth Baldwin,English,4.8,3.5,2.0,
Justin McCrary,Legal Studies,3.5,2.0,1.0,
Daniel Halpern-Leistner,Mathematics,4.5,4.0,2.0,
Paul Bryan,Chemical Engineering,3.8,3.5,2.0,
Matt Goren,Psychology,4.8,3.0,2.0,
Mira-Lisa Katz,Education,4.0,1.0,1.0,
Hurichan Islamoglu,History,2.3,3.6,8.0,
Andrew Peng,Mathematics,5.0,2.0,1.0,
Qunhua LI,Statistics,1.0,5.0,1.0,
Norman Gendleman,Film,4.5,3.0,1.0,
Gail Brager,Architecture,4.8,3.3,4.0,100%
Rene Davids,Architecture,3.0,3.0,1.0,
Jere Takahashi,Ethnic Studies,4.0,3.0,2.0,
Tony Bezsylko,Philosophy,1.0,2.7,3.0,
Karthik Patange,Anthropology,3.8,1.5,2.0,
Jasjeet Sekhon,Political Science,,,,
Stephanie Syjuco,Art,2.1,3.4,3.0,
Patricia Hilden,Ethnic Studies,3.0,2.8,20.0,100%
Veronique Munoz-Darde,Philosophy,3.4,3.3,4.0,100%
Yumeng Zhang,Statistics,1.0,2.0,1.0,0%
Richard Hutson,English,3.2,2.6,13.0,0%
Bonnye Lynn Ingram,Earth Science,3.7,2.2,9.0,0%
Mather George,Anthropology,2.3,3.4,12.0,0%
J. Ngai,Biology,2.4,4.3,4.0,
Jean Walrand,Computer Science,2.6,4.8,5.0,50%
Ayyana Chakravartula,Mechanical Engineering,1.8,4.8,6.0,0%
David Dynerman,Mathematics,3.0,3.0,1.0,0%
Mariana Cravioto,Industrial Engineering,,,,
Lyn Hejinian,English,4.5,2.5,13.0,100%
Gemma Niermann,Biology,4.2,2.4,8.0,
Louise Glass,Biology,3.5,3.3,6.0,0%
Ajay Manthripragada,Architecture,4.8,4.7,6.0,100%
Sean Gailmard,Political Science,4.4,3.5,38.0,100%
Kirsten Gustavson,Social Welfare,,,,
Surjeet Rajendran,Physics,,,,
Michael Dumas,Education,,,,
Clark Kellogg,Architecture,4.3,3.0,7.0,100%
Eileen Lacey,Biology,4.9,2.2,13.0,100%
Alexander Nezlobin,Business Administration,2.0,3.5,4.0,0%
Anthony Dubovsky,Architecture,4.1,2.3,7.0,100%
Steve Lindow,Biology,4.3,2.5,12.0,100%
Mary Berry,History,2.5,3.5,15.0,100%
Lindsey Summers,Theatre  Dance,5.0,2.5,2.0,100%
Sanjam Garg,Computer Science,2.0,4.2,4.0,0%
Catherine Albiston,Legal Studies,3.2,2.9,13.0,
Leora Lawton,Sociology,3.4,2.3,6.0,0%
Carl Mason,History,3.9,2.8,8.0,
John Searle,Philosophy,3.6,3.1,47.0,100%
Paul Rog̩,Environ. Sci. Policy  Mgmt.,,,,
Vikram Chandra,English,4.0,1.9,7.0,0%
Christopher Llop,Information Systems,5.0,3.0,1.0,100%
Younjung Lee,Information Systems,,,,
Sally Sutherland - Goldman,Languages,4.8,4.3,3.0,100%
Rob Chandra,Business Administration,,,,
Daniel Calef,Mathematics,2.5,1.8,4.0,25%
Arpy Khatchirian,Philosophy,3.0,3.0,1.0,0%
Mao-Mei Liu,Sociology,3.6,3.6,6.0,67%
M Bevir,Political Science,4.2,2.4,14.0,100%
Ignacio Chapela,Environ. Sci. Policy amp Mgmt.,,,,
Jean Frechet,Chemistry,4.4,3.3,143.0,
Carolyn Bertozzi,Chemistry,4.8,3.5,21.0,
Jon Ellman,Chemistry,4.7,2.9,62.0,
Michael Parayno,Ethnic Studies,4.0,1.9,21.0,
John Chuang,Information Systems,4.7,3.2,4.0,100%
Charles Altieri,English,2.7,3.5,43.0,100%
Annie Smart,Theatre & Dance,3.6,3.5,4.0,100%
Kristen Whissel,Film,4.8,2.0,6.0,
James Bartolome,Environmental Science,3.0,2.3,3.0,
Richard Shaw,Art,4.8,2.3,8.0,
Karin Sanders,Scandinavian,4.4,1.8,8.0,
John Latto,Biology,4.8,2.0,19.0,
Elena Conis,Environmental Science,4.2,2.3,19.0,
Ehud Isacoff,Biology,4.7,2.1,9.0,0%
Leslie Martin,French,4.9,2.0,22.0,
Gordon Silverstein,Political Science,4.4,3.8,28.0,
Jennifer Zahrt,German,4.2,2.8,5.0,
Ron Gronsky,Engineering,5.0,3.0,32.0,
Greggor Mattson,Sociology,4.6,2.8,10.0,
David Montejano,Ethnic Studies,3.5,1.9,10.0,
Louis Segal,Latin American Studies,3.1,3.1,21.0,
Kai Ping Peng,Psychology,3.8,1.8,18.0,
Robert Ehrlich,Interdisciplinary Studies,2.6,4.0,23.0,
Luciano Moretto,Chemistry,3.6,3.1,34.0,
Beshara Doumani,History,3.7,3.1,35.0,
Avash Monajemi,Mathematics,4.8,3.5,2.0,
Crawford Greenwalt,Classics,4.1,2.6,11.0,
Alan Miller,Biology,4.7,2.1,9.0,
Reginald Barrett,Environmental Science,3.3,3.8,6.0,
Amy  Kyle,Public Health,1.0,2.0,3.0,
J. Karl Hedrick,Engineering,3.8,2.5,6.0,
Jasmit Rangr,Architecture,5.0,4.0,2.0,100%
Gabriel Dorfsman-Hopkins,Mathematics,5.0,4.0,2.0,100%
Ben Wormleighton,Mathematics,5.0,3.0,2.0,100%
Helene Silverberg,Political Science,3.5,4.4,24.0,53%
Fuifuilupe Niumeitolu,Women's Studies,5.0,1.9,11.0,100%
Ann Laudati,Geography,4.1,2.9,9.0,56%
Catherine Choy,Ethnic Studies,3.5,1.9,13.0,100%
Emily Zazulia,Music,3.4,3.4,5.0,67%
Debjani Roy,Chemistry,5.0,3.8,38.0,97%
Sheri Johnson,Psychology,3.8,3.3,16.0,67%
Nicholas Chauvin,Economics,,,,
Jun Hu,Art History,3.5,3.0,2.0,100%
Fred DeWitt,Art,,,,
ASHOK AJOY,Chemistry,,,,
Alice Agogino,Mechanical Engineering,3.7,1.3,3.0,50%
Joonhong Ahn,Nuclear Engineering,5.0,1.0,1.0,
Godwin Wong,Business Administration,3.0,1.8,5.0,
Stephan Few,Business Administration,2.0,1.0,1.0,
Charles Sarno,Sociology,3.5,2.5,2.0,100%
Alan Karras,History,4.1,3.1,57.0,80%
Nadia Ellis,English,4.1,4.0,18.0,86%
Cole Carvour,English,5.0,2.0,1.0,100%
Amanda Clayton,Political Science,5.0,3.0,1.0,100%
Christian Traeger,Agriculture,1.0,5.0,1.0,
D Krasne,Classics,1.5,5.0,2.0,
Saleem Al-Bahloly,Anthropology,4.1,3.3,4.0,
Jeff Romm,Environmental Science,2.3,1.8,11.0,
Michael Hanson,Business Administration,3.8,1.0,2.0,
Alain De Janvry,Economics,2.6,4.1,17.0,
Xuanming Su,Business Administration,4.8,1.5,2.0,
Elizabeth Brown,Legal Studies,2.0,4.5,2.0,0%
Marthine Satris,English,3.7,3.8,6.0,
Geneveive Painter,Legal Studies,2.0,5.0,1.0,
Jelle Stoop,History,1.5,3.3,3.0,
Mary Firestone,Environmental Science,4.3,1.3,3.0,
Paul Sterzing,Social Welfare,4.5,4.4,4.0,100%
Gisele Bousquet,Not Specified,3.3,2.5,2.0,
John Wawrzynek,Computer Science,2.2,4.0,4.0,0%
Jesse Rothstein,Public Policy,,,,
Michael Pejic,Mathematics,5.0,2.0,1.0,100%
Mark Wilson,Sociology,3.0,2.2,28.0,100%
Serena Le,English,4.5,1.8,4.0,100%
Michael Schuering,German,4.1,1.6,7.0,50%
Raluca Popa,Computer Science,3.4,3.0,3.0,100%
Julie Underhill,East Asian Studies,4.2,3.0,5.0,80%
Barbara Spackman,Comparative Literature,3.5,3.6,5.0,
Felipe Gutterriez,Rhetoric,4.3,3.0,43.0,100%
Lisa Pruitt,Engineering,4.6,4.0,4.0,
Mahiko Suzuki,Physics,4.1,3.6,5.0,
Cris Benton,Architecture,4.9,2.5,10.0,
Ananya Roy,Urban Design & Development,4.1,3.0,61.0,
Jacqueline Jung,Art History,4.3,3.2,9.0,
Raj Chetty,Economics,2.8,3.4,9.0,
Michael Jordan,Computer Science,4.0,4.3,5.0,
Amy Jamgochian,Rhetoric,3.8,3.7,24.0,
Kathleen Frydl,History,3.7,3.2,32.0,
David Palaita,Ethnic Studies,4.0,3.3,4.0,
Silvia Valisa,Italian,3.7,2.7,3.0,
Melissa Etzler,German,5.0,1.6,7.0,
David Bilder,Biology,4.0,2.7,3.0,
Ron Williams,Education,5.0,1.4,8.0,
Carl Olsen,Scandinavian,4.6,2.1,10.0,
Heather Bamford,Spanish,4.6,1.9,8.0,
Chris Plummer,Languages,4.3,3.8,4.0,
Robb Willer,Sociology,4.7,1.4,51.0,
Barbara Abrams,Public Health,4.6,2.3,4.0,
Luis Ramos,Comparative Literature,3.8,3.8,4.0,
Marco Aldi,Mathematics,3.8,3.3,10.0,
Xiao-Sheng Huang,Physics,4.6,2.3,14.0,
Ashvin Vishwanath,Physics,5.0,2.0,1.0,
Jessica Merrill,Slavic Languages & Literatures,4.5,4.0,2.0,
Frank Liao,Electrical Engineering,5.0,3.0,2.0,
Mikelle McCoin,Nutrition,3.9,3.0,4.0,
Kendra Salois,Music,5.0,2.0,1.0,
Param Dhillon,Chemistry,4.4,3.3,8.0,
James Sang Chi,History,5.0,4.0,1.0,
Sarah Gamble,Public Health,4.6,1.9,7.0,100%
Andreas Stahl,Nutrition,4.5,4.0,5.0,100%
Jason Kooiker,German,4.5,3.0,1.0,
Iulia Sprinceana,Spanish,4.7,1.8,5.0,
Loren Goldman,Rhetoric,4.6,3.5,4.0,
Daniel Husman,Writing,4.6,2.7,10.0,100%
Sarah Keyes,History,5.0,3.0,2.0,
James Dillon,Legal Studies,4.8,3.0,2.0,
Terry Regier,Cognitive Science,5.0,2.6,8.0,100%
Maura Tang,Theatre & Dance,5.0,1.0,1.0,100%
Xiaojing Sun,Chinese,4.8,2.0,2.0,
Maryam Farahmand,Mathematics,5.0,4.0,1.0,
Caroline Chen,Landscape Architecture & Regional Planning,5.0,3.5,2.0,
Sarah Accomazzo,Social Welfare,4.5,2.0,1.0,
Talia Prussin,Classics,5.0,4.0,1.0,
Joel Middleton,Political Science,4.5,2.0,1.0,
Mario Wimmer,Rhetoric,4.6,3.6,5.0,80%
Lise Gaston,English,4.0,4.0,1.0,100%
Nathan Pippenger,Political Science,5.0,2.7,3.0,100%
Elcin Unal,MolecularCellular Biology,4.8,3.2,4.0,100%
Charlotte Horsey,French,5.0,2.0,1.0,100%
Jonathan Wurtele,Physics,3.6,3.0,4.0,100%
Ming Hammond,Chemistry,3.7,3.6,5.0,100%
Phillip Messersmith,Materials Science,5.0,3.0,3.0,100%
Jennifer Coluccio,English,,,,
Jocelyne Guilbault,Music,3.2,2.5,17.0,100%
Kathleen Deegan,Nutrition,,,,
Peter Duesberg,Biology,2.6,2.4,14.0,100%
Erik Scollon,Art,2.4,3.8,5.0,40%
Nicholas De Monchaux,Architecture,3.8,3.5,24.0,86%
Michael Fragomeni,German,5.0,3.0,2.0,100%
Joe Dougherty,Business Administration,5.0,3.5,2.0,100%
Helen Bateup,MolecularCellular Biology,4.3,3.0,3.0,67%
Jeff Yau,Information Systems,,,,
Daniel Weisz,Aerospace Studies,3.0,4.0,1.0,0%
Caroline Lepennec,Economics,,,,
Iswar Hariharan,Biology,4.7,2.6,14.0,100%
Laurel Larsen,Geography,3.0,3.7,3.0,34%
Matthew Crossley,Psychology,,,,
Richard Calendar,Biology,3.5,3.0,24.0,0%
Daniel Hoffman,French,5.0,2.1,9.0,100%
Victor Quiroz Ciriaco,Spanish,,,,
Alexander Appleton,Mathematics,2.0,4.7,15.0,37%
Natalia Brizuela,Spanish,4.6,3.0,13.0,100%
Nathan Sayre,Geography,4.4,3.4,47.0,90%
Gian Garriga,Biology,3.5,3.1,21.0,40%
Christopher Chua,Asian Studies,5.0,2.4,12.0,100%
Yvan Yukee,Anthropology,5.0,2.8,5.0,100%
Kristine Kay,Political Science,4.0,4.0,1.0,0%
Michael Manga,Earth & Planetary Sciences,5.1,2.8,22.0,100%
Laura Wagner,Comparative Literature,4.0,5.0,2.0,50%
Barry Stroud,Philosophy,3.3,3.7,19.0,0%
Jean-Paul Bourdier,Architecture,2.1,4.3,8.0,0%
David Jaehning,Architecture,5.0,3.0,1.0,100%
Kristofer Pister,Electrical Engineering,4.2,3.7,3.0,100%
Brooks Ambrose,Information Systems,5.0,3.5,4.0,100%
Andrew Dillin,Biology,3.0,3.9,16.0,80%
Terence Hendershott,Business Administration,2.0,5.0,4.0,
Andy Shanken,Architecture,4.8,3.1,21.0,100%
Carlos Fernandez-Pello,Mechanical Engineering,3.2,1.9,7.0,100%
Alison Gopnik,Psychology,2.1,3.2,27.0,100%
Christina Gerhardt,German,4.6,2.8,10.0,100%
James Powell,Economics,4.2,3.0,6.0,50%
Norman Sperling,Astronomy,3.8,3.3,35.0,75%
Melanie Jeske,Sociology,5.0,2.0,1.0,100%
Dylan Arceneaux,Architecture,5.0,3.0,1.0,100%
Khatharya Um,Ethnic Studies,3.4,2.8,19.0,100%
Bernado Hinojosa,English,,,,
Sanjay Kumar,Bioengineering,4.4,2.7,6.0,100%
Christian Zickert,Mathematics,3.5,3.7,3.0,100%
onstantin Teleman,Mathematics,,,,
David Frick,Languages,,,,
Jyh-Yuan Chen,Engineering,3.6,3.1,10.0,50%
Brendan Shanahan,History,4.7,2.7,7.0,100%
Thomas Fleming,Ethnic Studies,4.9,1.6,27.0,
Jim Baxter,Biology,1.0,5.0,1.0,0%
Kristen Burmester,Psychology,,,,
Achva Stein,Landscape Architecture  Regional Planning,4.0,2.5,2.0,100%
Solly Fulp,Business Administration,5.0,2.1,5.0,80%
John McCauley,Business Administration,5.0,2.5,2.0,100%
Dariek Scott,African-American Studies,5.0,2.0,2.0,
Ismail Muhammad,English,,,,
Dennis K. Lieu,Engineering,2.8,3.8,45.0,15%
Keith Johnson,Linguistics,4.5,2.8,17.0,100%
Amy Lee,English,5.0,2.0,1.0,100%
Mahesh Srinivasan,Psychology,4.0,2.4,3.0,100%
Mark Labovitz,Data Science,,,,
Robert Bergman,Chemistry,4.0,2.9,10.0,0%
John Kuriyan,Chemistry,3.5,3.8,35.0,100%
David Savage,Biology,4.3,4.0,19.0,100%
Amel Belguith,Near Eastern Studies,4.5,3.5,9.0,88%
Eli Yablonovitch,Electrical Engineering,2.2,2.8,7.0,25%
Benjamin Faber,Economics,2.8,4.0,14.0,56%
Paolo D'Odorico,Environ. Sci. Policy & Mgmt.,2.5,2.5,2.0,50%
Laura Nader,Anthropology,3.8,3.1,82.0,78%
Sandrine Dudoit,Statistics,2.0,3.0,1.0,0%
Christina Hill,Landscape Architecture  Regional Planning,4.8,2.0,2.0,100%
Tiffany Page,Ethnic Studies,,,,
Susanne Gahl,Linguistics,3.4,3.0,15.0,58%
Soraya Tlatli,French,4.4,3.0,11.0,100%
Jacob Dalton,Philosophy,3.5,3.3,6.0,100%
Darell Fields,Architecture,3.1,4.3,9.0,40%
Julie Chang,Rhetoric,,,,
Michael Omi,Ethnic Studies,4.3,2.5,24.0,100%
Victoria Robinson,Ethnic Studies,4.5,3.1,103.0,90%
Edward Miguel,Economics,4.6,3.8,15.0,100%
Peter Ekman,Geography,3.6,3.1,11.0,46%
Sanjay Govindjee,Civil Engineering,3.4,3.4,19.0,50%
Irina Paperno,Slavic Languages & Literatures,3.9,3.0,16.0,67%
Nathan Ring,Art,,,,
Giovanni Compiani,Business Administration,5.0,4.0,1.0,100%
Kent Puckett,English,5.0,3.5,60.0,100%
Sarah Minkow,Nutrition,,,,
Tom Bruns,Biology,4.5,3.9,20.0,100%
Aila Matanock,Political Science,4.2,3.2,5.0,80%
Max Shen,Industrial Engineering,4.8,3.2,10.0,100%
Jason Britton,Physical Education,3.8,1.6,12.0,72%
Jim Pitman,Statistics,3.0,3.9,25.0,0%
Stephen Hinshaw,Psychology,4.9,2.9,29.0,100%
Maria Mavroudi,History,3.4,3.0,12.0,38%
Greig Crysler,Architecture,3.5,3.1,10.0,50%
Luis Cordero-Sanchez,Spanish,2.3,2.7,4.0,100%
John Chiang,Geography,4.3,3.3,27.0,80%
Wendy Brown,Political Science,3.8,3.5,52.0,70%
Whitney Davis,Art History,3.0,3.8,6.0,
Dre Helmns,Mechanical Engineering,,,,
Marius Wodzicki,Mathematics,2.5,4.0,82.0,34%
Dinah Lensing-Sharp,English,4.0,2.0,1.0,100%
Yim Au,"Art, Media, & Design",4.4,2.0,7.0,100%
Grace O'Connell,Mechanical Engineering,4.0,3.4,12.0,100%
Dan Stamper-Kurn,Physics,3.1,4.8,15.0,80%
Anne Walker,English,2.5,4.3,4.0,25%
Jacqueline Chew,Music,2.4,4.3,4.0,0%
Alessandra Lanzara,Physics,4.0,3.8,65.0,80%
Shamik Dasgupta,Philosophy,4.2,2.8,11.0,73%
Carmen Martinez Calderon,Chicano Studies,3.5,2.5,2.0,50%
Alix Schwartz,Arts & Humanities,3.7,3.3,3.0,67%
Haitham Mohamed,Near Eastern Studies,5.0,3.0,4.0,100%
Jill Stoner,Architecture,1.5,3.2,12.0,0%
Lewis Bremner,History,4.4,4.0,6.0,100%
Minsook Kim,Languages,4.4,2.5,10.0,100%
Paul Terrell,Sociology,4.8,2.7,3.0,
Amadeus Regucera,Music,5.0,3.0,1.0,100%
Terry Buehler,Physics,4.6,3.6,34.0,91%
Karen Nakamura,Anthropology,5.0,1.9,7.0,100%
Peter Bershatsky,Business Administration,,,,
Ling Hon Lam,Chinese,3.1,4.0,12.0,75%
Arturo Perez-Reyes,Business Administration,2.8,3.3,15.0,0%
Matthew Jurow,Chemistry,3.4,3.3,13.0,62%
Michael Cassidy,Engineering,4.3,2.8,8.0,100%
Lisa Barcellos,Public Health,2.8,3.0,3.0,0%
Daniel Mulhern,Business Administration,4.4,3.6,47.0,64%
Ann Kalinowski,Statistics,1.9,3.2,10.0,0%
Dan Schnur,Political Science,4.1,3.0,22.0,72%
Paul Laskowski,Data Science,,,,
Edward Kass,Business Administration,3.3,3.1,7.0,80%
Mary Power,Biology,2.4,3.1,57.0,34%
Carolina Reid,Architecture,5.0,2.9,7.0,100%
Maureen Miller,History,3.5,3.5,11.0,100%
Stephan Astourian,History,4.4,3.4,17.0,60%
Dan Voiculescu,Mathematics,2.0,3.0,34.0,67%
Paolo Mancosu,Philosophy,4.0,3.4,35.0,72%
Benjamin Blackman,Biology,2.8,5.0,21.0,60%
Nasser Meerkhan,Near Eastern Studies,5.0,2.5,2.0,100%
Janet Brady,Business Administration,4.4,2.8,9.0,88%
Gabriel Regalado,English,4.5,3.5,2.0,100%
Osita Udekwu,Rhetoric,3.0,3.7,4.0,50%
Benjamin Beitler,French,4.4,3.0,3.0,67%
Mike Wong,Mathematics,4.5,3.4,15.0,100%
Maximiliano Lauletta,Economics,,,,
Mark Biggin,MolecularCellular Biology,1.6,4.5,12.0,17%
Maurice Obstfeld,Economics,,,,
James Eckhouse,Geography,,,,
Waldo Martin,History,4.0,3.0,18.0,72%
Andrew Rastetter,Architecture,2.0,4.0,1.0,0%
Ingrid Gavshon,Engineering,3.5,2.0,2.0,100%
Erik Raymond Lee,Theatre amp Dance,5.0,1.5,2.0,100%
Zsolt Katona,Business Administration,,,,
Anna Maria Bellezza,Italian,5.0,2.9,30.0,100%
Sarah Levin,Religious Studies,4.0,1.5,2.0,100%
Kathy Yelick,Computer Science,1.0,5.0,1.0,0%
Carlos Cisneros,Linguistics,5.0,2.0,2.0,100%
Daniel Kammen,Public Policy,4.1,4.0,33.0,50%
Corinne Riddell,Public Health,2.7,2.9,8.0,38%
Erin Murphy-Graham,Education,4.3,3.1,22.0,88%
Maureen Lahiff,Public Health,4.1,2.5,16.0,89%
Adam Jadhav,Geography,4.8,3.6,7.0,100%
Sandra Eder,History,5.0,3.0,1.0,100%
Alva Noe,Philosophy,3.3,3.4,35.0,59%
Jennifer Bussell,Political Science,5.0,1.0,1.0,100%
Wasim Azhar,Business Administration,2.3,3.9,18.0,34%
Michael Shapira,Biology,4.1,3.4,15.0,100%
Bethanie Edwards,Earth amp Planetary Sciences,2.5,3.6,27.0,31%
Andrew Reddie,Political Science,4.2,2.7,16.0,72%
Rosemary Joyce,Anthropology,4.3,2.8,24.0,100%
Rakesh Bhandari,Interdisciplinary Studies,4.4,2.8,48.0,91%
Christopher Hallett,Art History,3.8,2.4,14.0,40%
Ross Wilson,MolecularCellular Biology,3.4,3.5,4.0,50%
Mary Wildermuth,Biology,4.3,3.4,11.0,84%
Eric Paulos,Computer Science,2.5,2.1,7.0,50%
