Name,Department,Rating,Difficulty,Number of Reviews,Would Take Again
Blake Wentworth,Professor in the Asian Studies department at University of California Berkeley,5,3.2,6,100%
Leonardo Arriola,Professor in the Political Science department at University of California Berkeley,3.8,3.7,19,100%
Richmond Sarpong,Professor in the Chemistry department at University of California Berkeley,4.2,4.1,21,N/A
Michael Lucey,Professor in the French department at University of California Berkeley,4.8,3,7,100%
David Divita,Professor in the French department at University of California Berkeley,4.9,3.3,6,100%
Joshua Vera,Professor in the Classics department at University of California Berkeley,5,3,1,N/A
Joseph Ring,Professor in the English department at University of California Berkeley,5,2.7,3,N/A
Suleman Khan,Professor in the Chemistry department at University of California Berkeley,5,3,2,100%
Mariska Kriek,Professor in the Astronomy department at University of California Berkeley,4,4,1,100%
George Brooks,Professor in the Biology department at University of California Berkeley,1.8,3.6,18,50%
Elisabeth Sadoulet,Professor in the Economics department at University of California Berkeley,3.4,2.6,5,0%
L. Craig Evans,Professor in the Mathematics department at University of California Berkeley,4.5,3,41,75%
Andreea Gorbatai,Professor in the Business Administration department at University of California Berkeley,4,2.5,2,N/A
Steven Weissman,Professor in the Public Policy department at University of California Berkeley,2,2.5,2,0%
Candace Yano,Professor in the Industrial Engineering department at University of California Berkeley,4.3,3,4,50%
Ivonne Del Valle,Professor in the Spanish department at University of California Berkeley,4.7,3.8,6,100%
Polina Dimova,Professor in the Comparative Literature department at University of California Berkeley,4.6,3.2,6,100%
Alvin Cheung,Professor in the Computer Science department at University of California Berkeley,3.1,3,4,100%
Carlos Padilla,Professor in the Political Science department at University of California Berkeley,4.6,2.6,10,90%
Irfan Siddiqi,Professor in the Physics department at University of California Berkeley,4.7,4,19,100%
Husam Muhamad,Professor in the Biology department at University of California Berkeley,N/A,N/A,,N/A
Caitlin Rosenthal,Professor in the History department at University of California Berkeley,4.6,2.5,13,90%
Gabe Lenz,Professor in the Political Science department at University of California Berkeley,3.2,2.7,18,54%
Hans Sluga,Professor in the Philosophy department at University of California Berkeley,4.1,3,30,77%
Cari Kaufman,Professor in the Statistics department at University of California Berkeley,4.2,2.6,41,87%
Michaela Mross,Professor in the Religious Studies department at University of California Berkeley,N/A,N/A,,N/A
Ryan Walvoord,Professor in the Chemistry department at University of California Berkeley,N/A,N/A,,N/A
Alexis Bouthier,Professor in the Mathematics department at University of California Berkeley,N/A,N/A,,N/A
Gabriel Flambard,Professor in the French department at University of California Berkeley,1,2,1,N/A
Erica Lawrence,Professor in the English department at University of California Berkeley,N/A,N/A,,N/A
Andy Jackson,Professor in the Biology department at University of California Berkeley,4.2,3.6,9,N/A
Sidney Kustu,Professor in the Biology department at University of California Berkeley,3,4,1,N/A
Walter Alvarez,Professor in the Earth Science department at University of California Berkeley,4.4,1.8,20,N/A
Vincent Resh,Professor in the Biology department at University of California Berkeley,3.5,3.4,45,N/A
John Lesch,Professor in the History department at University of California Berkeley,4.4,2.2,14,N/A
Norman Jacobson,Professor in the Political Science department at University of California Berkeley,3.8,2.1,7,N/A
Haiyan Huang,Professor in the Statistics department at University of California Berkeley,2.6,3.8,5,N/A
Carlos Mujal,Professor in the History department at University of California Berkeley,2.9,3.5,4,N/A
Justin Tumlinson,Professor in the Business Administration department at University of California Berkeley,4.5,4,1,N/A
Tim Fuson,Professor in the Music department at University of California Berkeley,1.5,2,1,N/A
Samuel Gillette,Professor in the Chemistry department at University of California Berkeley,4.8,2,2,N/A
Mai Vuong-Hurt,Professor in the Chemistry department at University of California Berkeley,4,4,1,N/A
Joe A. Reyes,Professor in the Not Specified department at University of California Berkeley,4.5,1.3,3,N/A
Gabriel Kaprielian,Professor in the Urban Design & Development department at University of California Berkeley,3.5,4.5,2,50%
Rodrigo Almeida,Professor in the Environ. Sci. Policy & Mgmt. department at University of California Berkeley,3.6,2.3,12,70%
James Sethian,Professor in the Mathematics department at University of California Berkeley,4.1,4.3,112,88%
Julia Chang,Professor in the Spanish department at University of California Berkeley,2.9,3.3,4,N/A
Adam Szeidl,Professor in the Economics department at University of California Berkeley,4.4,1.8,6,N/A
William Kahan,Professor in the Mathematics department at University of California Berkeley,3.5,5,6,N/A
Klaus Corcilius,Professor in the Philosophy department at University of California Berkeley,4,2.9,14,N/A
Benito De Lumen,Professor in the Nutrition department at University of California Berkeley,2.7,2.1,7,N/A
Margaret Weir,Professor in the Sociology department at University of California Berkeley,4,2.7,11,N/A
Alex Green,Professor in the Writing department at University of California Berkeley,3.8,4.7,3,N/A
Bharati Mukherjee,Professor in the English department at University of California Berkeley,3.5,3.2,5,N/A
Karen Christensen,Professor in the Urban Design & Development department at University of California Berkeley,2.8,2.9,7,N/A
Venus Bivar,Professor in the History department at University of California Berkeley,2,2,1,N/A
Bernard Sadoulet,Professor in the Physics department at University of California Berkeley,2.1,3.7,9,N/A
Clara Mantini-Briggs,Professor in the Anthropology department at University of California Berkeley,5,2,1,N/A
Daniel Cullen,Professor in the Music department at University of California Berkeley,2.7,2.3,3,N/A
Jeffrey Miner,Professor in the History department at University of California Berkeley,5,2,2,N/A
Xochitl Marsilli,Professor in the Anthropology department at University of California Berkeley,3,2.5,2,N/A
Karl Van Bibber,Professor in the Nuclear Engineering department at University of California Berkeley,4.5,2.4,4,100%
Dawit Melak,Professor in the African-American Studies department at University of California Berkeley,4.8,1.3,3,N/A
Allan Sly,Professor in the Statistics department at University of California Berkeley,4.2,1.7,3,N/A
Elizabeth Purdom,Professor in the Statistics department at University of California Berkeley,3.6,4.4,5,N/A
John Casida,Professor in the Environmental Science department at University of California Berkeley,4.1,1.8,4,N/A
L Murray,Professor in the Business Administration department at University of California Berkeley,2.4,3.5,4,N/A
Kim Richards,Professor in the Ethnic Studies department at University of California Berkeley,2.4,2.2,6,N/A
Nicholas Junkerman,Professor in the English department at University of California Berkeley,3.5,2.7,3,N/A
Orlaith Creedon,Professor in the French department at University of California Berkeley,3,3,1,N/A
Danielle Watts,Professor in the Geography department at University of California Berkeley,4,3,1,N/A
Jan Devries,Professor in the History department at University of California Berkeley,3.4,3,7,N/A
Alex Kruckman,Professor in the Mathematics department at University of California Berkeley,5,1,1,N/A
Daniel Naylor,Professor in the Plant Biology department at University of California Berkeley,2,2.5,4,N/A
Roy Fisher,Professor in the Near Eastern Studies department at University of California Berkeley,4.3,3,2,N/A
Verena Hoefig,Professor in the Scandinavian department at University of California Berkeley,4.9,2.3,4,N/A
Kenneth Wells,Professor in the History department at University of California Berkeley,2.7,3,3,N/A
Daniel Feldman,Professor in the Biology department at University of California Berkeley,4.6,2.5,4,N/A
Jim Hunt,Professor in the Civil Engineering department at University of California Berkeley,4.3,4.7,3,N/A
Ping Foong,Professor in the Art History department at University of California Berkeley,2,3,1,N/A
Ruth Baldwin,Professor in the English department at University of California Berkeley,4.8,3.5,2,N/A
Justin McCrary,Professor in the Legal Studies department at University of California Berkeley,3.5,2,1,N/A
Daniel Halpern-Leistner,Professor in the Mathematics department at University of California Berkeley,4.5,4,2,N/A
Paul Bryan,Professor in the Chemical Engineering department at University of California Berkeley,3.8,3.5,2,N/A
Matt Goren,Professor in the Psychology department at University of California Berkeley,4.8,3,2,N/A
Mira-Lisa Katz,Professor in the Education department at University of California Berkeley,4,1,1,N/A
Hurichan Islamoglu,Professor in the History department at University of California Berkeley,2.3,3.6,8,N/A
Andrew Peng,Professor in the Mathematics department at University of California Berkeley,5,2,1,N/A
Qunhua LI,Professor in the Statistics department at University of California Berkeley,1,5,1,N/A
Norman Gendleman,Professor in the Film department at University of California Berkeley,4.5,3,1,N/A
Gail Brager,Professor in the Architecture department at University of California Berkeley,4.8,3.3,4,100%
Rene Davids,Professor in the Architecture department at University of California Berkeley,3,3,1,N/A
Jere Takahashi,Professor in the Ethnic Studies department at University of California Berkeley,4,3,2,N/A
Tony Bezsylko,Professor in the Philosophy department at University of California Berkeley,1,2.7,3,N/A
Karthik Patange,Professor in the Anthropology department at University of California Berkeley,3.8,1.5,2,N/A
Jasjeet Sekhon,Professor in the Political Science department at University of California Berkeley,N/A,N/A,,N/A
Stephanie Syjuco,Professor in the Art department at University of California Berkeley,2.1,3.4,3,N/A
Patricia Hilden,Professor in the Ethnic Studies department at University of California Berkeley,3,2.8,20,100%
Veronique Munoz-Darde,Professor in the Philosophy department at University of California Berkeley,3.4,3.3,4,100%
Yumeng Zhang,Professor in the Statistics department at University of California Berkeley,1,2,1,0%
Richard Hutson,Professor in the English department at University of California Berkeley,3.2,2.6,13,0%
Bonnye Lynn Ingram,Professor in the Earth Science department at University of California Berkeley,3.7,2.2,9,0%
Mather George,Professor in the Anthropology department at University of California Berkeley,2.3,3.4,12,0%
J. Ngai,Professor in the Biology department at University of California Berkeley,2.4,4.3,4,N/A
Jean Walrand,Professor in the Computer Science department at University of California Berkeley,2.6,4.8,5,50%
Ayyana Chakravartula,Professor in the Mechanical Engineering department at University of California Berkeley,1.8,4.8,6,0%
David Dynerman,Professor in the Mathematics department at University of California Berkeley,3,3,1,0%
Mariana Cravioto,Professor in the Industrial Engineering department at University of California Berkeley,N/A,N/A,,N/A
Lyn Hejinian,Professor in the English department at University of California Berkeley,4.5,2.5,13,100%
Gemma Niermann,Professor in the Biology department at University of California Berkeley,4.2,2.4,8,N/A
Louise Glass,Professor in the Biology department at University of California Berkeley,3.5,3.3,6,0%
Ajay Manthripragada,Professor in the Architecture department at University of California Berkeley,4.8,4.7,6,100%
Sean Gailmard,Professor in the Political Science department at University of California Berkeley,4.4,3.5,38,100%
Kirsten Gustavson,Professor in the Social Welfare department at University of California Berkeley,N/A,N/A,,N/A
Surjeet Rajendran,Professor in the Physics department at University of California Berkeley,N/A,N/A,,N/A
Michael Dumas,Professor in the Education department at University of California Berkeley,N/A,N/A,,N/A
Clark Kellogg,Professor in the Architecture department at University of California Berkeley,4.3,3,7,100%
Eileen Lacey,Professor in the Biology department at University of California Berkeley,4.9,2.2,13,100%
Alexander Nezlobin,Professor in the Business Administration department at University of California Berkeley,2,3.5,4,0%
Anthony Dubovsky,Professor in the Architecture department at University of California Berkeley,4.1,2.3,7,100%
Steve Lindow,Professor in the Biology department at University of California Berkeley,4.3,2.5,12,100%
Mary Berry,Professor in the History department at University of California Berkeley,2.5,3.5,15,100%
Lindsey Summers,Professor in the Theatre  Dance department at University of California Berkeley,5,2.5,2,100%
Sanjam Garg,Professor in the Computer Science department at University of California Berkeley,2,4.2,4,0%
Catherine Albiston,Professor in the Legal Studies department at University of California Berkeley,3.2,2.9,13,N/A
Leora Lawton,Professor in the Sociology department at University of California Berkeley,3.4,2.3,6,0%
Carl Mason,Professor in the History department at University of California Berkeley,3.9,2.8,8,N/A
John Searle,Professor in the Philosophy department at University of California Berkeley,3.6,3.1,47,100%
Paul Rog̩,Professor in the Environ. Sci. Policy  Mgmt. department at University of California Berkeley,N/A,N/A,,N/A
Vikram Chandra,Professor in the English department at University of California Berkeley,4,1.9,7,0%
Christopher Llop,Professor in the Information Systems department at University of California Berkeley,5,3,1,100%
Younjung Lee,Professor in the Information Systems department at University of California Berkeley,N/A,N/A,,N/A
Sally Sutherland - Goldman,Professor in the Languages department at University of California Berkeley,4.8,4.3,3,100%
Rob Chandra,Professor in the Business Administration department at University of California Berkeley,N/A,N/A,,N/A
Daniel Calef,Professor in the Mathematics department at University of California Berkeley,2.5,1.8,4,25%
Arpy Khatchirian,Professor in the Philosophy department at University of California Berkeley,3,3,1,0%
Mao-Mei Liu,Professor in the Sociology department at University of California Berkeley,3.6,3.6,6,67%
M Bevir,Professor in the Political Science department at University of California Berkeley,4.2,2.4,14,100%
Ignacio Chapela,Professor in the Environ. Sci. Policy amp Mgmt. department at University of California Berkeley,N/A,N/A,,N/A
Jean Frechet,Professor in the Chemistry department at University of California Berkeley,4.4,3.3,143,N/A
Carolyn Bertozzi,Professor in the Chemistry department at University of California Berkeley,4.8,3.5,21,N/A
Jon Ellman,Professor in the Chemistry department at University of California Berkeley,4.7,2.9,62,N/A
Michael Parayno,Professor in the Ethnic Studies department at University of California Berkeley,4,1.9,21,N/A
John Chuang,Professor in the Information Systems department at University of California Berkeley,4.7,3.2,4,100%
Charles Altieri,Professor in the English department at University of California Berkeley,2.7,3.5,43,100%
Annie Smart,Professor in the Theatre & Dance department at University of California Berkeley,3.6,3.5,4,100%
Kristen Whissel,Professor in the Film department at University of California Berkeley,4.8,2,6,N/A
James Bartolome,Professor in the Environmental Science department at University of California Berkeley,3,2.3,3,N/A
Richard Shaw,Professor in the Art department at University of California Berkeley,4.8,2.3,8,N/A
Karin Sanders,Professor in the Scandinavian department at University of California Berkeley,4.4,1.8,8,N/A
John Latto,Professor in the Biology department at University of California Berkeley,4.8,2,19,N/A
Elena Conis,Professor in the Environmental Science department at University of California Berkeley,4.2,2.3,19,N/A
Ehud Isacoff,Professor in the Biology department at University of California Berkeley,4.7,2.1,9,0%
Leslie Martin,Professor in the French department at University of California Berkeley,4.9,2,22,N/A
Gordon Silverstein,Professor in the Political Science department at University of California Berkeley,4.4,3.8,28,N/A
Jennifer Zahrt,Professor in the German department at University of California Berkeley,4.2,2.8,5,N/A
Ron Gronsky,Professor in the Engineering department at University of California Berkeley,5,3,32,N/A
Greggor Mattson,Professor in the Sociology department at University of California Berkeley,4.6,2.8,10,N/A
David Montejano,Professor in the Ethnic Studies department at University of California Berkeley,3.5,1.9,10,N/A
Louis Segal,Professor in the Latin American Studies department at University of California Berkeley,3.1,3.1,21,N/A
Kai Ping Peng,Professor in the Psychology department at University of California Berkeley,3.8,1.8,18,N/A
Robert Ehrlich,Professor in the Interdisciplinary Studies department at University of California Berkeley,2.6,4,23,N/A
Luciano Moretto,Professor in the Chemistry department at University of California Berkeley,3.6,3.1,34,N/A
Beshara Doumani,Professor in the History department at University of California Berkeley,3.7,3.1,35,N/A
Avash Monajemi,Professor in the Mathematics department at University of California Berkeley,4.8,3.5,2,N/A
Crawford Greenwalt,Professor in the Classics department at University of California Berkeley,4.1,2.6,11,N/A
Alan Miller,Professor in the Biology department at University of California Berkeley,4.7,2.1,9,N/A
Reginald Barrett,Professor in the Environmental Science department at University of California Berkeley,3.3,3.8,6,N/A
Amy  Kyle,Professor in the Public Health department at University of California Berkeley,1,2,3,N/A
J. Karl Hedrick,Professor in the Engineering department at University of California Berkeley,3.8,2.5,6,N/A
Jasmit Rangr,Professor in the Architecture department at University of California Berkeley,5,4,2,100%
Gabriel Dorfsman-Hopkins,Professor in the Mathematics department at University of California Berkeley,5,4,2,100%
Ben Wormleighton,Professor in the Mathematics department at University of California Berkeley,5,3,2,100%
Helene Silverberg,Professor in the Political Science department at University of California Berkeley,3.5,4.4,24,53%
Fuifuilupe Niumeitolu,Professor in the Women's Studies department at University of California Berkeley,5,1.9,11,100%
Ann Laudati,Professor in the Geography department at University of California Berkeley,4.1,2.9,9,56%
Catherine Choy,Professor in the Ethnic Studies department at University of California Berkeley,3.5,1.9,13,100%
Emily Zazulia,Professor in the Music department at University of California Berkeley,3.4,3.4,5,67%
Debjani Roy,Professor in the Chemistry department at University of California Berkeley,5,3.8,38,97%
Sheri Johnson,Professor in the Psychology department at University of California Berkeley,3.8,3.3,16,67%
Nicholas Chauvin,Professor in the Economics department at University of California Berkeley,N/A,N/A,,N/A
Jun Hu,Professor in the Art History department at University of California Berkeley,3.5,3,2,100%
Fred DeWitt,Professor in the Art department at University of California Berkeley,N/A,N/A,,N/A
ASHOK AJOY,Professor in the Chemistry department at University of California Berkeley,N/A,N/A,,N/A
Alice Agogino,Professor in the Mechanical Engineering department at University of California Berkeley,3.7,1.3,3,50%
Joonhong Ahn,Professor in the Nuclear Engineering department at University of California Berkeley,5,1,1,N/A
Godwin Wong,Professor in the Business Administration department at University of California Berkeley,3,1.8,5,N/A
Stephan Few,Professor in the Business Administration department at University of California Berkeley,2,1,1,N/A
Charles Sarno,Professor in the Sociology department at University of California Berkeley,3.5,2.5,2,100%
Alan Karras,Professor in the History department at University of California Berkeley,4.1,3.1,57,80%
Nadia Ellis,Professor in the English department at University of California Berkeley,4.1,4,18,86%
Cole Carvour,Professor in the English department at University of California Berkeley,5,2,1,100%
Amanda Clayton,Professor in the Political Science department at University of California Berkeley,5,3,1,100%
Christian Traeger,Professor in the Agriculture department at University of California Berkeley,1,5,1,N/A
D Krasne,Professor in the Classics department at University of California Berkeley,1.5,5,2,N/A
Saleem Al-Bahloly,Professor in the Anthropology department at University of California Berkeley,4.1,3.3,4,N/A
Jeff Romm,Professor in the Environmental Science department at University of California Berkeley,2.3,1.8,11,N/A
Michael Hanson,Professor in the Business Administration department at University of California Berkeley,3.8,1,2,N/A
Alain De Janvry,Professor in the Economics department at University of California Berkeley,2.6,4.1,17,N/A
Xuanming Su,Professor in the Business Administration department at University of California Berkeley,4.8,1.5,2,N/A
Elizabeth Brown,Professor in the Legal Studies department at University of California Berkeley,2,4.5,2,0%
Marthine Satris,Professor in the English department at University of California Berkeley,3.7,3.8,6,N/A
Geneveive Painter,Professor in the Legal Studies department at University of California Berkeley,2,5,1,N/A
Jelle Stoop,Professor in the History department at University of California Berkeley,1.5,3.3,3,N/A
Mary Firestone,Professor in the Environmental Science department at University of California Berkeley,4.3,1.3,3,N/A
Paul Sterzing,Professor in the Social Welfare department at University of California Berkeley,4.5,4.4,4,100%
Gisele Bousquet,Professor in the Not Specified department at University of California Berkeley,3.3,2.5,2,N/A
John Wawrzynek,Professor in the Computer Science department at University of California Berkeley,2.2,4,4,0%
Jesse Rothstein,Professor in the Public Policy department at University of California Berkeley,N/A,N/A,,N/A
Michael Pejic,Professor in the Mathematics department at University of California Berkeley,5,2,1,100%
Mark Wilson,Professor in the Sociology department at University of California Berkeley,3,2.2,28,100%
Serena Le,Professor in the English department at University of California Berkeley,4.5,1.8,4,100%
Michael Schuering,Professor in the German department at University of California Berkeley,4.1,1.6,7,50%
Raluca Popa,Professor in the Computer Science department at University of California Berkeley,3.4,3,3,100%
Julie Underhill,Professor in the East Asian Studies department at University of California Berkeley,4.2,3,5,80%
Barbara Spackman,Professor in the Comparative Literature department at University of California Berkeley,3.5,3.6,5,N/A
Felipe Gutterriez,Professor in the Rhetoric department at University of California Berkeley,4.3,3,43,100%
Lisa Pruitt,Professor in the Engineering department at University of California Berkeley,4.6,4,4,N/A
Mahiko Suzuki,Professor in the Physics department at University of California Berkeley,4.1,3.6,5,N/A
Cris Benton,Professor in the Architecture department at University of California Berkeley,4.9,2.5,10,N/A
Ananya Roy,Professor in the Urban Design & Development department at University of California Berkeley,4.1,3,61,N/A
Jacqueline Jung,Professor in the Art History department at University of California Berkeley,4.3,3.2,9,N/A
Raj Chetty,Professor in the Economics department at University of California Berkeley,2.8,3.4,9,N/A
Michael Jordan,Professor in the Computer Science department at University of California Berkeley,4,4.3,5,N/A
Amy Jamgochian,Professor in the Rhetoric department at University of California Berkeley,3.8,3.7,24,N/A
Kathleen Frydl,Professor in the History department at University of California Berkeley,3.7,3.2,32,N/A
David Palaita,Professor in the Ethnic Studies department at University of California Berkeley,4,3.3,4,N/A
Silvia Valisa,Professor in the Italian department at University of California Berkeley,3.7,2.7,3,N/A
Melissa Etzler,Professor in the German department at University of California Berkeley,5,1.6,7,N/A
David Bilder,Professor in the Biology department at University of California Berkeley,4,2.7,3,N/A
Ron Williams,Professor in the Education department at University of California Berkeley,5,1.4,8,N/A
Carl Olsen,Professor in the Scandinavian department at University of California Berkeley,4.6,2.1,10,N/A
Heather Bamford,Professor in the Spanish department at University of California Berkeley,4.6,1.9,8,N/A
Chris Plummer,Professor in the Languages department at University of California Berkeley,4.3,3.8,4,N/A
Robb Willer,Professor in the Sociology department at University of California Berkeley,4.7,1.4,51,N/A
Barbara Abrams,Professor in the Public Health department at University of California Berkeley,4.6,2.3,4,N/A
Luis Ramos,Professor in the Comparative Literature department at University of California Berkeley,3.8,3.8,4,N/A
Marco Aldi,Professor in the Mathematics department at University of California Berkeley,3.8,3.3,10,N/A
Xiao-Sheng Huang,Professor in the Physics department at University of California Berkeley,4.6,2.3,14,N/A
Ashvin Vishwanath,Professor in the Physics department at University of California Berkeley,5,2,1,N/A
Jessica Merrill,Professor in the Slavic Languages & Literatures department at University of California Berkeley,4.5,4,2,N/A
Frank Liao,Professor in the Electrical Engineering department at University of California Berkeley,5,3,2,N/A
Mikelle McCoin,Professor in the Nutrition department at University of California Berkeley,3.9,3,4,N/A
Kendra Salois,Professor in the Music department at University of California Berkeley,5,2,1,N/A
Param Dhillon,Professor in the Chemistry department at University of California Berkeley,4.4,3.3,8,N/A
James Sang Chi,Professor in the History department at University of California Berkeley,5,4,1,N/A
Sarah Gamble,Professor in the Public Health department at University of California Berkeley,4.6,1.9,7,100%
Andreas Stahl,Professor in the Nutrition department at University of California Berkeley,4.5,4,5,100%
Jason Kooiker,Professor in the German department at University of California Berkeley,4.5,3,1,N/A
Iulia Sprinceana,Professor in the Spanish department at University of California Berkeley,4.7,1.8,5,N/A
Loren Goldman,Professor in the Rhetoric department at University of California Berkeley,4.6,3.5,4,N/A
Daniel Husman,Professor in the Writing department at University of California Berkeley,4.6,2.7,10,100%
Sarah Keyes,Professor in the History department at University of California Berkeley,5,3,2,N/A
James Dillon,Professor in the Legal Studies department at University of California Berkeley,4.8,3,2,N/A
Terry Regier,Professor in the Cognitive Science department at University of California Berkeley,5,2.6,8,100%
Maura Tang,Professor in the Theatre & Dance department at University of California Berkeley,5,1,1,100%
Xiaojing Sun,Professor in the Chinese department at University of California Berkeley,4.8,2,2,N/A
Maryam Farahmand,Professor in the Mathematics department at University of California Berkeley,5,4,1,N/A
Caroline Chen,Professor in the Landscape Architecture & Regional Planning department at University of California Berkeley,5,3.5,2,N/A
Sarah Accomazzo,Professor in the Social Welfare department at University of California Berkeley,4.5,2,1,N/A
Talia Prussin,Professor in the Classics department at University of California Berkeley,5,4,1,N/A
Joel Middleton,Professor in the Political Science department at University of California Berkeley,4.5,2,1,N/A
Mario Wimmer,Professor in the Rhetoric department at University of California Berkeley,4.6,3.6,5,80%
Lise Gaston,Professor in the English department at University of California Berkeley,4,4,1,100%
Nathan Pippenger,Professor in the Political Science department at University of California Berkeley,5,2.7,3,100%
Elcin Unal,Professor in the MolecularCellular Biology department at University of California Berkeley,4.8,3.2,4,100%
Charlotte Horsey,Professor in the French department at University of California Berkeley,5,2,1,100%
Jonathan Wurtele,Professor in the Physics department at University of California Berkeley,3.6,3,4,100%
Ming Hammond,Professor in the Chemistry department at University of California Berkeley,3.7,3.6,5,100%
Phillip Messersmith,Professor in the Materials Science department at University of California Berkeley,5,3,3,100%
Jennifer Coluccio,Professor in the English department at University of California Berkeley,N/A,N/A,,N/A
Jocelyne Guilbault,Professor in the Music department at University of California Berkeley,3.2,2.5,17,100%
Kathleen Deegan,Professor in the Nutrition department at University of California Berkeley,N/A,N/A,,N/A
Peter Duesberg,Professor in the Biology department at University of California Berkeley,2.6,2.4,14,100%
Erik Scollon,Professor in the Art department at University of California Berkeley,2.4,3.8,5,40%
