Title,Course Code,Instructor,Days,Time,Location,Description
Freshman Composition,AFRICAM R1B,Ashia Ajani,"TU, TH",2:00 pm - 3:29 pm,Social Sciences Building 180,"Continued training in expository and argumentative writing, with more emphasis on literary interpretation. Satisfies the second half of the Reading and Composition requirement."
Africa: History and Culture,AFRICAM 4A,G Ugo Nwokeji,"M, W",10:00 am - 11:59 am,North Gate 105,"Emphasis on pre-colonial social, cultural, political, and economic structures; introduction to art, literature, oral traditions, and belief systems."
African American Life and Culture in the United States,AFRICAM 5A,Brandi N Catanese,"TU, TH",11:00 am - 12:29 pm,Anthro/Art Practice Bldg 160,"A study of the genesis, development, and scope of African American culture, approached through an examination of selected art forms, historical themes, and intellectual currents."
Intermediate Swahili,AFRICAM 10A,David Kyeu,"TU, TH",11:00 am - 12:59 pm,Evans 72,"This course reviews and expands students' knowledge of fundamental structures from Elementary Swahili and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by instructor's materials."
Elementary Swahili,AFRICAM 11A,David Kyeu,"TU, TH",9:00 am - 10:59 am,Dwinelle 104,"This course introduces students to the basics of speaking, listening, reading, and writing in Swahili. Instruction is mixed English and Swahili. Emphasis is placed on developing student ability to create and to communicate with basic structures and vocabulary in culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing are developed through in-class exercises, independent reading projects, and compositions. This course not open to native or heritage speakers of Swahili."
Advanced Swahili,AFRICAM 15A,David Kyeu,"TU, TH",2:00 pm - 3:59 pm,,"This course reviews and expands students' knowledge from Intermediate Swahili. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by instructor's materials."
Elementary Igbo,AFRICAM 16A,Gladys N Ajaelo,"TH, F",12:00 pm - 1:59 pm,Social Sciences Building 129,"Igbo is one of the main languages spoken in Nigeria. Originating in southeastern Nigeria among the Igbo people, Igbo is spoken by around 30 million people in Nigeria and throughout the Diaspora. The Igbo language is in the Niger-Congo language family. There are several Igbo dialects spoken in Eastern Nigeria, with some being mutually intelligible. A ""Standard Igbo"" is used in Eastern Nigeria for government, law, education and religious contexts."
Elementary Amharic,AFRICAM 18A,Amlaku Eshetie,"M, W",9:00 am - 10:59 am,Internet/Online,"Amharic is one of the major languages of Ethiopia, spoken by over 21 million people there, and widely used by emigrants in the Diaspora. This course introduces the Amharic language and culture to both non-native and heritage language learners. The class primarily emphasizes listening, speaking, reading and writing through communicative activities, enabling students to perform various tasks in the target language. We will also become familiar with the Amharic or Geez alphabet."
Intermediate Amharic,AFRICAM 21A,Amlaku Eshetie,"M, W",1:00 pm - 2:59 pm,Internet/Online,"This course continues to build on what students learned in its prerequisite course, AFRICAM 18A. A student is required to have successfully completed AFRICAM 18B at UC Berkeley. Students who took Amharic elsewhere may have to take a PLACEMENT test before enrolling in this course. The design of this syllabus is based on global standards for teaching Amharic as a foreign language, and ACTFL proficiency guidelines. Using the skills acquired in the first year of Amharic, this course is meant to help students improve their speaking, writing, reading, listening and cultural proficiencies. In this course, students are advised to minimize the use of English to 50% and below and plan on using Amharic more in and out of class."
"Race, Racism and Resistance in the United States",AFRICAM 27AC,Michael M Cohen,"TU, TH",12:30 pm - 1:59 pm,Genetics & Plant Bio 100,"This course explores the role of race, racism and resistance in the United States from 1492 to the present. We do this by reading autobiographical works written by racial justice activists alongside works in the theory of racial formations. Together we ask: What is race? How do we define and recognize racism? How has race shaped the lives of Americans historically classified as minorities? And how have anti-racist intellectuals represented the personal and political struggles of racialized communities living in a white majority culture? To answer these questions we focus on the intersections of race, class and gender; immigration, labor and democracy; and the history of resistance to racial oppression from abolition to liberation and back."
Research Methods for African American Studies,AFRICAM 101,N/A,"M, W",12:00 pm - 1:59 pm,Moffitt Library 103,"As an introduction to interdisciplinary research methods as they are applied to the study of African American communities, the course will examine theoretical and conceptual issues; techniques for identifying existing research; and sources and methods of social research and data collection. The main focus will be on qualitative methods."
Slavery and African American Life Before 1865,AFRICAM 116,Ula Yvette Taylor,"M, W",10:00 am - 11:59 am,Social Sciences Building 166,"This course will examine the origins of the African slave trade, and explore political, economic, demographic and cultural factors shaping African American life and culture prior to 1865."
The Slave Trade and Culture in the Modern Atlantic World,AFRICAM 118,G Ugo Nwokeji,"TU, TH",5:00 pm - 6:29 pm,Wheeler 204,"The course explores the role of the transatlantic slave trade in the evolution of the Atlantic world, comprising four continents: Africa, Europe, and North and South America. Although the course will deal with various aspects of the slave trade, it will emphasize cultural themes. The discovery of fresh data and the application of more sophisticated techniques have in recent years combined with a growing willingness of specialists to speak to a wider audience and to wider social implications."
"Race, Policing and Surveillance in the U.S.",AFRICAM 136L,Nikki Jones,,,Internet/Online,"What is the relationship between the criminal justice system and surveillance in America? What role does power play in this relationship? How does this complicated relationship inform, reproduce, and engender understandings about race, class and sexuality? How has this relationship changed over time? How has technological change impacted this relationship? In this course, we will examine the relationship between the criminal justice system and the surveillance of vulnerable communities. We will examine social and historical trends, but our main focus will be on the evolution of this relationship since the mid-20th century, especially how this relationship developed in distressed urban neighborhoods in the post-Civil Rights era."
Neo-Slave Narratives,AFRICAM 152F,Darieck Scott,"TU, TH",12:30 pm - 1:59 pm,Social Sciences Building 56,"This course explores African American fiction written during the 1970s and 1980s that attempt to re-present the ur-text of African American literature--and/or to represent for contemporary readers the lives of African slaves in the United States. In what ways do these authors imagine the experience and effects of slavery from their vantage point a century after emancipation, and with the Civil Rights and Black Power Movements shaping the context of their writing?"
"Special Topics in African American Literature: ""Fiction for the Folks: Outlining and Writing a Novel This Semester""",AFRICAM 159,Aya De Leon,W,4:00 pm - 6:59 pm,Social Sciences Building 54,N/A
"Special Topics in African American Literature: ""The Anti-Apartheid Movement, Global and Local""",AFRICAM 159,Frederick L Vincent,"TU, TH",2:00 pm - 3:29 pm,Dwinelle 215,N/A
"Spoken Word: Oral Tradition & Transformation from Poetry to Hip Hop, Standup & Beyond",AFRICAM 164,Aya De Leon,M,4:00 pm - 6:59 pm,Social Sciences Building 54,"This course is designed to give students four vantage points on contemporary spoken word: 1) as a diverse, layered, and multicultural young adult arts movement 2) as an art form with African American roots, including Black church, Black power and hip hop traditions 3) as an opportunity to practice using spoken word as a tool for social commentary and to communicate personal experience, and 4) as an opportunity to utilize the process of creativity for self-exploration and community building."
Social Movements and Organizing,AFRICAM 182AC,Sarumathi Jayaraman,M,3:00 pm - 5:59 pm,Wheeler 102,"The current crises of inequality, democracy, racial and political division, and climate change are fomenting social movements in the United States and around the world. How do social movements grow and sustain? How do social movements capture national attention that motivates everyday people including students to mobilize for social change? This class will provide students with a grounding in the literature of social movement theory and history, with a special emphasis on social movements led by African American, Latinx, indigenous, and Asian Pacific Islander communities for equity. The class will also introduce students basics of social movement organizing, mobilizing unlikely voters through organizing technique and theory of non-violence."
Senior Capstone,AFRICAM 195,Nikki Jones,TH,12:00 pm - 2:59 pm,Social Sciences Building 650,"This three unit seminar is designed for all graduating African American Studies majors. This course will guide majors in the process of consolidating their intellectual experience as they work toward carving out the next stage of their professional lives. Drawing upon interdisciplinary methods and the unique opportunities the field offers for problem-solving, the seminar is concerned with underscoring the moveable academic skill set outside the ivory tower."
Theories of the African Diaspora,AFRICAM 201D,Tianna S Paschel,TU,2:00 pm - 4:59 pm,Social Sciences Building 650,"This course is intended to provide students with an initial background for the composition of the position paper discussing the concept and study of African Diaspora necessary for passing department qualifying exams. It will introduce some of the theoretical frameworks for, and approaches to, scholarship concerning the African Diaspora."
Special Topics in Cultural Studies of the Diaspora: Novels of Toni Morrison,AFRICAM 240,Darieck Scott,TH,3:00 pm - 5:59 pm,Anthro/Art Practice Bldg 115,One hour of lecture per week per unit. Topics will vary from term to term depending on student demand and faculty availability.
Directed Dissertation Research,AFRICAM 296,Tianna S Paschel,,,,Open to qualified students who have been advanced to candidacy for the Ph.D. degree and are directly engaged in doctoral dissertation research.
Individual Study for Master's Students,AFRICAM 601,Tianna S Paschel,,,,Individual study for the master's requirements in consultation with the adviser. Units may not be used to meet either unit or residency requirements for the master's degree.
Individual Study for Doctoral Students,AFRICAM 602,Tianna S Paschel,,,,"Individual study, in consultation with group faculty, to prepare students for the doctoral oral examinations. A student will be permitted to accumulate a maximum of 8 units toward examination preparation. Units earned in this course may not be used to meet academic residence or unit requirements for the master's or doctoral degree."
Introduction to Ancient Greece,AGRS 10A,Grace Erny,"TU, TH",9:30 am - 10:59 am,Valley Life Sciences 2040,"Study of the major developments, achievements, and contradictions in Greek culture from the Bronze Age to the 4th century BCE. Key works of literature, history, and philosophy (read in English translation) will be examined in their political and social context, and in relation both to other ancient Mediterranean cultures and to subsequent developments in Western civilization."
Introduction to the Archaeology of the Greek World,AGRS 17A,N/A,"M, W, F",2:00 pm - 2:59 pm,Moffitt Library 102,"The physical remains of the Greek world from the Bronze Age to 323 BCE will be studied, with emphasis on its artistic triumphs, as a means of understanding the culture of ancient Greece."
Classics of the Ancient Mediterranean World,AGRS R44,"Giovanni R F Ferrari, Trevor M Murphy","W, F",5:00 pm - 6:59 pm,Valley Life Sciences 2060,"This course covers Homeric and Classical Greece, Rome in its transition from republic to empire, and the world of the Old Testament. Lectures, discussions, and reading assignments will involve interdisciplinary approaches with an emphasis on the development of skill in writing. Satisfies either half of the Reading and Composition requirement plus one of the following Letters and Science breath requirements: Arts and Literature, Historical Studies, or Social and Behavioral Sciences."
The History of Hell: Eschatology in Ancient Mediterranean Cultures,AGRS 130F,Trevor M Murphy,"M, W, F",10:00 am - 10:59 am,Wheeler 30,"In this course we will examine the history of ideas about the soul’s postmortem fate in the ancient Mediterranean world. We will focus on epic poets and philosophers from ancient Greece and Rome, but also read comparative material from the ancient Near East, the Hebrew Bible, the New Testament, and medieval Christendom. Our goal will be to study the common threads that connect depictions of hell / the underworld in their respective cultural contexts. No knowledge of Greek or Latin required."
"Gender, Sexuality, and Culture in the Ancient World",AGRS 161,Leslie V Kurke,"M, W, F",1:00 pm - 1:59 pm,GSPP 150,"Study of topics in gender, feminism, and sexuality in ancient cultures. Topics vary from year to year."
Reading and Composition on Topics in Ancient History and Mediterranean Archaeology,AHMA R1B,"Nathan H Levine, Emily M Mackil","TU, TH",9:30 am - 10:59 am,Evans 51,This seminar-style course introduces students to a problem or theme that is explored through ancient historical texts as well as archaeological evidence. Readings and studies of this material evidence provide the subject upon which a series of writing assignments will focus. AHMA R1B is the second seminar in the University’s required R&C sequence; its aim is to introduce students to college-level research and writing by focusing on a problem or theme related to a specific department’s field of inquiry
Reading and Composition on Topics in Ancient History and Mediterranean Archaeology,AHMA R1B,"Leah Packard-Grams, Emily M Mackil","TU, TH",2:00 pm - 3:29 pm,Dwinelle 89,This seminar-style course introduces students to a problem or theme that is explored through ancient historical texts as well as archaeological evidence. Readings and studies of this material evidence provide the subject upon which a series of writing assignments will focus. AHMA R1B is the second seminar in the University’s required R&C sequence; its aim is to introduce students to college-level research and writing by focusing on a problem or theme related to a specific department’s field of inquiry
Special Study,AHMA 298,N/A,,,,Normally reserved for students writing the doctoral dissertation.
Special Study,AHMA 298,N/A,,,,Normally reserved for students writing the doctoral dissertation.
Special Study,AHMA 298,N/A,,,,Normally reserved for students writing the doctoral dissertation.
Special Study,AHMA 298,N/A,,,,Normally reserved for students writing the doctoral dissertation.
Special Study,AHMA 298,N/A,,,,Normally reserved for students writing the doctoral dissertation.
Special Study,AHMA 298,N/A,,,,Normally reserved for students writing the doctoral dissertation.
Special Study,AHMA 299,Duncan E Macrae,,,,"Topics and instructors will vary from year to year. Special individual study for qualified graduate students. Individual study and research, including archaeological fieldwork or laboratory projects, in consultation with instructor on subject matter not covered in scheduled course offerings."
Special Study,AHMA 299,Emily M Mackil,,,,"Topics and instructors will vary from year to year. Special individual study for qualified graduate students. Individual study and research, including archaeological fieldwork or laboratory projects, in consultation with instructor on subject matter not covered in scheduled course offerings."
Introduction to American Studies: Going Nuclear,AMERSTD 10,"Christine Palmer, Mark Brilliant","TU, TH",12:30 pm - 1:59 pm,Mulford 240,N/A
Directed Group Study,AMERSTD 98,N/A,M,6:30 pm - 8:29 pm,,"Written proposal must be approved by sponsoring faculty. Seminars for the group study of selected topics, which will vary from year to year. Topics may be initiated by students."
Examining U.S. Cultures in Time: Dust and Chrome: America and the 1930's,AMERSTD 101,Alexander Benjamin Craghead,"M, W",2:00 pm - 3:59 pm,Giannini 141,N/A
Examining U.S. Cultures in Time: A History of the Present: The U.S. After 9/11,AMERSTD 101,Michael M Cohen,"M, W",2:00 pm - 3:59 pm,Anthro/Art Practice Bldg 155,N/A
Examining U.S. Cultures in Place: Constructing a Settler Colonial History of American Architecture,AMERSTD 102,N/A,F,9:00 am - 11:59 am,Wurster 170,N/A
Examining U.S. Cultures in Place: Berkeley in the (18)60s: Uncovering the Origins of a Public University,AMERSTD 102AC,Sarah Erina Gold McBride,"TU, TH",11:00 am - 12:29 pm,Cory 241,N/A
Special Topics in American Studies: The New Gilded Age,AMERSTD 110,Mark Brilliant,TU,2:00 pm - 4:59 pm,Evans 41,N/A
Special Topics in American Studies: Listening to America,AMERSTD 110,"Christine Palmer, David Miller","M, W",2:00 pm - 3:59 pm,Morrison 125,"This course is designed primarily to allow faculty to develop focused interdisciplinary courses which address specific issues, themes, or problems in American society. Topics vary from semester to semester. Students should consult the department's webpage for current offerings before the start of the semester."
Topics in American Studies: The Seventies,AMERSTD C111E,Scott Andrew Saul,"TU, TH",8:00 am - 9:29 am,Barker 101,N/A
"The American Landscape: Place, Power and Culture",AMERSTD C112,Alexander Benjamin Craghead,"TU, TH",9:30 am - 10:59 am,Giannini 141,"What is America as a landscape and a place, and how do we know it when we see it? This course seeks to address such questions, to introduce ways of seeing and interpreting American histories and cultures, as revealed in everyday built surroundings—homes, highways, farms, factories, stores, recreation areas, small towns, city districts, and regions. It does so through the lens of cultural geography, an interdisciplinary practice that developed, in part, here at Berkeley. Our goal in this course is thus twofold: First, to develop literacy in the role of space and place in American culture, and second to develop a working knowledge of cultural geography as a practice."
Native American Literature,AMERSTD C152,Enrique E Lima,"TU, TH",12:30 pm - 1:59 pm,Dwinelle 229,"An analysis of the written and oral tradition developed by Native Americans. Emphasis will be placed on a multifaceted approach (aesthetic, linguistic, psychological, historical, and cultural) in examining American Indian literature."
The American Designed Landscape Since 1850,AMERSTD C171,Louise A Mozingo,"TU, TH",3:30 pm - 4:59 pm,Wurster 101,"This course surveys the history of American landscape architecture since 1850 in four realms: 1) urban open spaces--that is squares, plazas, parks, and recreation systems; 2) urban and suburban design; 3) regional and environmental planning; 4) gardens. The course will review the cultural and social contexts which have shaped and informed landscape architecture in the United States since the advent of the public parks movement, as well as, the aesthetic precepts, environmental concerns, horticultural practices, and technological innovations of American landscapes. Students will complete a midterm, final, and a research assignment."
Research and Writing in American Studies,AMERSTD 189,Sarah Erina Gold McBride,W,10:00 am - 11:59 am,Social Sciences Building 180,"This course is designed to encourage research skills, critical thinking, and effective writing. An intensive reading and research seminar, the course will assist students in the development of skills fundamental to advanced research in the humanities, social sciences, and cultural studies. In addition to examining some topics in current American studies scholarship, students will conduct semester-long research projects. The effort entails identification of research topics, cultivation of interdisciplinary methodologies, compilation of annotated bibliographies, and completion of a literature review, which may serve as the first portion of the American studies senior thesis. The course is strongly recommended for those who have been out of touch with the conventions of academic research and writing or who might wish to pursue a graduate degree in the future."
Senior Thesis Seminar,AMERSTD 191,Alexander Benjamin Craghead,W,4:00 pm - 5:59 pm,Evans 51,Students will meet in seminar and will be required to write individual research papers based on the general themes or issues of the seminar. The particular themes/issues will be outlined on the American Studies Course List provided each semester by the American Studies office.
Senior Honors Thesis Seminar,AMERSTD H195,Sarah Erina Gold McBride,TU,1:00 pm - 2:59 pm,Dwinelle 262,This is a required course for students wishing to graduate with honors in American studies. Entails writing a bachelor's thesis pertaining to the student's individual area of concentration within the American studies major. The completed thesis will be read by the thesis supervisor and one other faculty member.
Directed Group Study for Advanced Undergraduates,AMERSTD 198,N/A,M,6:30 pm - 8:29 pm,,Seminars for the group study of selected topics not covered by regularly scheduled courses. Topics will vary from semester to semester. Students must have completed 60 units in order to be eligible to enroll.
Directed Group Study for Advanced Undergraduates,AMERSTD 198,N/A,TU,6:30 pm - 7:59 pm,,Seminars for the group study of selected topics not covered by regularly scheduled courses. Topics will vary from semester to semester. Students must have completed 60 units in order to be eligible to enroll.
Supervised Independent Study and Research for Upper Division Majors,AMERSTD 199,Alexander Benjamin Craghead,,,,Directed individual study on special topics approved by an American studies faculty member. Enrollment restrictions apply; see the Introduction to Courses and Curricula section of this catalog.
Supervised Independent Study and Research for Upper Division Majors,AMERSTD 199,Christine Palmer,,,,Directed individual study on special topics approved by an American studies faculty member. Enrollment restrictions apply; see the Introduction to Courses and Curricula section of this catalog.
Supervised Independent Study and Research for Upper Division Majors,AMERSTD 199,Michael M Cohen,,,,Directed individual study on special topics approved by an American studies faculty member. Enrollment restrictions apply; see the Introduction to Courses and Curricula section of this catalog.
Teaching Interdisciplinary American Studies,AMERSTD 300,Christine Palmer,F,10:00 am - 10:59 am,,"This course will introduce graduate students to a number of techniques and theories used in teaching at the university level. In particular, it will focus on the challenges of teaching interdisciplinary American studies courses that rely on a range of materials and methodological approaches drawn from multiple disciplines and that address students who come from a variety of disciplinary backgrounds."
Introduction to Archaeology,ANTHRO 2AC,Laurie A Wilkie,"TU, TH",9:30 am - 10:59 am,Valley Life Sciences 2050,"Prehistory and cultural growth. Introduction to the methods, goals, and theoretical concepts of archaeology with attention to the impact archaeology has had on the construction of the histories of diverse communities - Native Americans, Hispanics, and Euro-Americans. It fulfills the requirements for 2."
Introduction to Social/Cultural Anthropology (American Cultures),ANTHRO 3AC,Daniel Fisher,"TU, TH",11:00 am - 12:29 pm,Valley Life Sciences 2050,The structure and dynamics of human cultures and social institutions from a comparative perspective with special attention to American cultures and their roots. Case studies will illustrate the principles presented in the course. It fulfills the requirements for 3.
Reading and Composition in Anthropology,ANTHRO R5B,N/A,"M, W, F",12:00 pm - 12:59 pm,Social Sciences Building 50,"Reading and composition courses based on the anthropological literature. These courses provide an introduction to issues distinctive of anthropological texts and introduce students to distinctive forms of anthropological writing, such as ethnography and anthropological prehistory. Readings will be chosen from a variety of texts by authors whose works span the discipline, from bioanthropology to archaeology and sociocultural anthropology. Satisfies the second half of the Reading and Composition requirement."
Reading and Composition in Anthropology,ANTHRO R5B,N/A,"M, W, F",1:00 pm - 1:59 pm,Social Sciences Building 50,"Reading and composition courses based on the anthropological literature. These courses provide an introduction to issues distinctive of anthropological texts and introduce students to distinctive forms of anthropological writing, such as ethnography and anthropological prehistory. Readings will be chosen from a variety of texts by authors whose works span the discipline, from bioanthropology to archaeology and sociocultural anthropology. Satisfies the second half of the Reading and Composition requirement."
Reading and Composition in Anthropology,ANTHRO R5B,N/A,"TU, TH",12:30 pm - 1:59 pm,Social Sciences Building 174,"Reading and composition courses based on the anthropological literature. These courses provide an introduction to issues distinctive of anthropological texts and introduce students to distinctive forms of anthropological writing, such as ethnography and anthropological prehistory. Readings will be chosen from a variety of texts by authors whose works span the discipline, from bioanthropology to archaeology and sociocultural anthropology. Satisfies the second half of the Reading and Composition requirement."
Reading and Composition in Anthropology,ANTHRO R5B,Rosemary Joyce,"TU, TH",3:30 pm - 4:59 pm,Social Sciences Building 180,"Reading and composition courses based on the anthropological literature. These courses provide an introduction to issues distinctive of anthropological texts and introduce students to distinctive forms of anthropological writing, such as ethnography and anthropological prehistory. Readings will be chosen from a variety of texts by authors whose works span the discipline, from bioanthropology to archaeology and sociocultural anthropology. Satisfies the second half of the Reading and Composition requirement."
Reading and Composition in Anthropology,ANTHRO R5B,N/A,"TU, TH",9:30 am - 10:59 am,Evans 35,"Reading and composition courses based on the anthropological literature. These courses provide an introduction to issues distinctive of anthropological texts and introduce students to distinctive forms of anthropological writing, such as ethnography and anthropological prehistory. Readings will be chosen from a variety of texts by authors whose works span the discipline, from bioanthropology to archaeology and sociocultural anthropology. Satisfies the second half of the Reading and Composition requirement."
Primate Behavior,ANTHRO 106,Gustav Steinhardt,"TU, TH",10:30 am - 11:59 am,Social Sciences Building 65,N/A
Special Topics in Biological Anthropology: Forensic Anthropology,ANTHRO 112,Louise Corron,"TU, TH",11:00 am - 12:29 pm,Anthro/Art Practice Bldg 221,N/A
"Health, Medicine, Society and Environment",ANTHRO C119A,Ryan Patrick Whitacre,W,2:00 pm - 4:59 pm,Barker 101,"Introduces students to intersections between health, medicine, society, and environment through medical and environmental anthropology, political ecology, medical geography, and the social studies of science, technology and the natural environment. Readings, discussions, and assignments will explore the sociocultural, political economic, and environmental aspects of illness, care, disease, biomedicine, and health (in)equity."
Historical Archaeology: Historical Artifact Identification and Analysis,ANTHRO 121C,William A White,"TU, TH",9:30 am - 10:59 am,Social Sciences Building 61,N/A
Archaeology of East Asia,ANTHRO C125A,Junko Habu,"TU, TH",3:30 pm - 4:59 pm,2251 College 101,"Prehistoric and protohistoric archaeology in China, Japan, and Korea."
Human Palaeoecology: How Humans Changed the Earth: How Humans Changed the Earth,ANTHRO 129D,Lisa A Maher,"TU, TH",12:30 pm - 1:59 pm,2251 College 101,N/A
Introduction to Museum Methods,ANTHRO 136B,Carolyn A Smith,"TU, TH",2:00 pm - 3:29 pm,Anthro/Art Practice Bldg 221,"This course will introduce participants to the fundamentals of contemporary museum practices. It is intended for two groups of students: individuals who may be thinking of conducting research in museums, and may benefit from an understanding of the way these institutions work; and individuals who may be thinking of museum work as a post-graduate career. The course will include both discussion of museum concepts and practical application of these concepts through real-world exercises. While the course fulfills the method requirement, it covers practices of art, natural history, and science museums as well."
Anthropology of Gender,ANTHRO 147A,Lawrence Cohen,"TU, TH",9:30 am - 10:59 am,Anthro/Art Practice Bldg 221,"The course explores major developments within feminist theory in the 20th century within an international context, with special attention to issues of class, culture, race, ethnicity, and sexuality."
Indigenous Perspectives in Anthropology,ANTHRO 159,Nicholas Clinton Laluk,"TU, TH",11:00 am - 12:29 pm,2251 College 101,N/A
China,ANTHRO 170,Xin Liu,"M, W, F",11:00 am - 11:59 am,Anthro/Art Practice Bldg 221,N/A
Ethnography of the Maya,ANTHRO 179,William F Hanks,"TU, TH",12:30 pm - 1:59 pm,Anthro/Art Practice Bldg 221,N/A
Topics in the Anthropological Study of Africa,ANTHRO 183,Mariane C Ferme,"TU, TH",9:30 am - 10:59 am,Dwinelle 134,"The course will focus on African societies and cultures, as well as on issues relating to the history of Africanist anthropology. Images and constructs of Africa or Africans will thus be contextualized in relation to prevailing anthropological theories at different times, and in different regions of the continent."
"Special Topics in Social/Cultural Anthropology: Our Dogs, Ourselves",ANTHRO 189,Aarti Sethi,"TU, TH",2:00 pm - 3:29 pm,2251 College 101,N/A
